Очки,2-очк-3/В,2-очк-%,3-очк-3/В,3-очк-%,Штрафные-3/В,Штрафные-%,Подборы,Передачи,Фолы,Перехваты,Потери,Блокшоты,МИН,Очки прот.,2-очк-3/В прот.,2-очк-% прот.,3-очк-3/В прот.,3-очк-% прот.,Штрафные-3/В прот.,Штрафные-% прот.,Подборы прот.,Передачи прот.,Фолы прот.,Перехваты прот.,Потери прот.,Блокшоты прот.,Победа,Победа дома
76,14/38,37,10/24,42,18/24,75,26,19,22,10,19,1,200,111,24/28,86,15/27,56,18/23,78,25,36,24,16,16,5,1,0
92,8/26,31,15/32,47,31/42,74,28,21,34,7,19,3,225,86,23/44,52,2/14,14,34/46,74,29,17,32,13,14,3,1,1
83,22/40,55,7/27,26,18/21,86,32,19,19,8,8,3,200,76,19/40,48,10/24,42,8/10,80,35,15,22,2,13,2,1,1
66,16/41,39,6/22,27,16/18,89,34,17,23,10,12,0,200,79,13/21,62,13/33,39,14/19,74,28,16,21,7,14,5,0,0
84,19/31,61,9/24,38,19/27,70,32,15,25,3,11,5,200,66,17/37,46,3/22,14,23/28,82,27,12,28,5,12,0,1,1
91,24/48,50,7/19,37,22/28,79,35,21,26,9,10,0,200,80,22/51,43,4/17,24,24/32,75,43,19,24,8,16,6,1,1
83,22/46,48,10/26,38,9/17,53,30,17,23,6,12,1,200,112,23/35,66,14/29,48,24/26,92,30,27,17,8,8,2,1,0
77,15/25,60,9/30,30,20/25,80,31,16,24,8,12,2,200,72,13/28,46,10/33,30,16/20,80,33,12,29,5,12,1,1,1
77,14/27,52,11/23,48,16/16,100,29,21,25,8,15,3,200,74,18/43,42,6/15,40,20/25,80,25,12,20,7,11,3,1,1
73,20/46,43,6/20,30,15/18,83,46,16,20,4,16,2,200,79,18/37,49,9/33,27,16/22,73,36,21,17,9,9,3,0,0
100,24/41,59,10/28,36,22/25,88,35,23,26,7,11,5,200,80,16/33,48,10/29,34,18/26,69,28,12,22,7,15,0,0,1
86,10/22,45,14/32,44,24/29,83,33,16,28,8,9,6,200,73,21/41,51,5/21,24,16/26,62,34,22,29,3,15,0,1,1
94,16/30,53,14/36,39,20/23,87,29,18,29,5,11,1,225,95,22/40,55,8/18,44,27/35,77,29,10,27,9,10,2,0,0
78,22/43,51,5/19,26,19/24,79,29,22,20,7,11,1,200,90,21/33,64,10/25,40,18/22,82,31,15,22,6,12,2,0,0
99,22/38,58,12/25,48,19/25,76,35,29,22,8,13,2,200,73,11/29,38,12/33,36,15/22,68,29,17,26,11,17,2,1,1
101,28/45,62,10/16,63,15/20,75,23,28,25,12,7,5,200,86,12/28,43,11/20,55,29/32,91,24,16,24,3,15,2,0,1
84,24/38,63,7/21,33,15/19,79,25,15,23,15,17,3,200,67,15/37,41,7/21,33,16/20,80,28,16,21,8,20,0,1,1
71,18/41,44,8/24,33,11/12,92,35,16,20,9,15,6,200,76,16/33,48,10/30,33,14/18,78,31,14,17,9,12,4,0,0
79,15/32,47,9/24,38,22/25,88,37,14,24,5,20,5,200,93,20/39,51,10/27,37,23/26,88,25,12,23,8,7,0,0,0
95,20/31,65,10/25,40,25/30,83,28,24,28,11,10,0,200,84,19/29,66,8/25,32,22/31,71,26,16,24,2,12,1,1,1
66,19/43,44,5/19,26,13/15,87,31,14,22,4,16,2,200,91,28/53,53,7/17,41,14/21,67,34,25,18,9,8,1,0,0
67,14/37,38,9/24,38,12/15,80,29,13,21,9,20,3,200,96,13/23,57,19/39,49,13/15,87,31,27,18,9,15,3,0,0
96,23/37,62,9/15,60,23/27,85,33,22,20,7,16,1,200,64,22/50,44,4/17,24,8/14,57,26,12,30,7,12,0,1,1
61,20/35,57,3/17,18,12/19,63,26,15,22,8,16,2,200,86,24/48,50,7/19,37,17/22,77,35,19,20,7,11,1,0,0
71,19/33,58,7/20,35,12/16,75,30,12,16,2,16,3,200,88,20/42,48,11/23,48,15/17,88,26,21,20,8,7,1,0,0
68,21/42,50,4/18,22,14/20,70,34,15,34,4,16,1,200,82,14/33,42,9/21,43,27/36,75,34,11,24,11,10,7,0,0
76,22/43,51,6/18,33,14/27,52,32,21,19,15,12,3,200,63,20/50,40,3/11,27,14/16,88,36,10,24,5,20,2,1,1
67,19/38,50,5/24,21,14/16,88,24,16,20,7,17,0,200,99,30/34,88,9/29,31,12/18,67,31,29,19,14,11,2,0,0
76,21/49,43,8/28,29,10/18,56,38,17,22,8,7,3,200,80,20/43,47,6/21,29,22/26,85,41,18,20,6,10,4,0,0
86,21/38,55,8/23,35,20/25,80,24,10,26,7,10,3,200,93,18/36,50,10/25,40,27/31,87,31,17,23,8,13,2,0,0
84,12/27,44,7/26,27,39/46,85,34,10,23,4,12,7,200,78,22/45,49,6/21,29,16/21,76,33,18,35,5,13,2,1,1
83,12/28,43,14/31,45,17/21,81,33,13,24,11,15,0,200,78,12/37,32,12/28,43,18/25,72,42,13,20,9,17,1,1,1
80,14/26,54,12/36,33,16/22,73,36,17,20,6,19,2,200,73,21/37,57,8/25,32,7/17,41,23,17,25,10,13,4,1,1
79,22/38,58,9/15,60,8/13,62,20,15,25,7,12,6,200,75,20/42,48,5/20,25,20/26,77,32,13,18,5,9,3,1,1
78,19/33,58,7/25,28,19/21,90,29,10,23,7,15,2,200,87,21/42,50,10/19,53,15/22,68,30,14,22,7,13,2,0,0
92,20/34,59,11/20,55,19/22,86,36,22,25,5,14,2,200,63,12/28,43,7/30,23,18/28,64,26,15,25,6,13,1,1,1
106,39/63,62,6/19,32,10/12,83,43,23,15,4,8,8,200,91,22/51,43,11/32,34,14/19,74,42,21,18,5,6,3,0,1
86,26/47,55,7/18,39,13/16,81,37,22,17,11,10,2,200,66,16/39,41,9/23,39,7/10,70,25,18,22,6,14,0,1,1
93,22/38,58,8/23,35,25/36,69,32,19,18,8,14,3,200,91,29/49,59,6/19,32,15/18,83,28,16,25,7,12,1,1,1
